cluster,stId,name,entities_found,entities_tot,FDR_wholeproteome,K_network_annotated,N_network,p_network_raw,FDR_network
1,R-HSA-179419,APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,1,61,0.3958488147599086,13,1800,0.6239033296371246,0.8932711164010895
1,R-HSA-1221632,Meiotic synapsis,1,61,0.3958488147599086,16,1800,0.7001969132197515,0.9394843887870858
1,R-HSA-174178,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,1,61,0.3958488147599086,13,1800,0.6239033296371246,0.8932711164010895
1,R-HSA-5250924,B-WICH complex positively regulates rRNA expression,1,61,0.3958488147599086,16,1800,0.7001969132197515,0.9394843887870858
1,R-HSA-166520,Signaling by NTRKs,2,166,0.3979992057669417,26,1800,0.5711073414485266,0.884755497257863
1,R-HSA-69017,CDK-mediated phosphorylation and removal of Cdc6,1,62,0.4008287180954928,14,1800,0.6512634679399638,0.9121733665867195
1,R-HSA-9856651,MITF-M-dependent gene expression,2,168,0.4037640162420524,21,1800,0.4550735720771708,0.8377068612522613
1,R-HSA-3214815,HDACs deacetylate histones,1,63,0.4057678768580995,21,1800,0.7947194963304411,0.9819684735480245
1,R-HSA-176409,APC/C:Cdc20 mediated degradation of mitotic proteins,1,63,0.4057678768580995,13,1800,0.6239033296371246,0.8932711164010895
1,R-HSA-597592,Post-translational protein modification,15,1676,0.4092876326576173,205,1800,0.5222503903049374,0.8541211155151235
1,R-HSA-176814,Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,1,64,0.4106666219255301,13,1800,0.6239033296371246,0.8932711164010895
1,R-HSA-3299685,Detoxification of Reactive Oxygen Species,1,64,0.4106666219255301,9,1800,0.49146912285447203,0.8525099015667957
1,R-HSA-177929,Signaling by EGFR,1,64,0.4106666219255301,8,1800,0.4516923394435704,0.8377068612522613
1,R-HSA-6782210,Gap-filling DNA repair synthesis and ligation in TC-NER,1,64,0.4106666219255301,12,1800,0.594414447159939,0.884755497257863
1,R-HSA-193648,NRAGE signals death through JNK,1,64,0.4106666219255301,10,1800,0.5283809118153424,0.8541211155151235
1,R-HSA-9917777,Epigenetic regulation by WDR5-containing histone modifying complexes,2,171,0.4123623773512814,23,1800,0.5036461443196453,0.8541211155151235
1,R-HSA-6791312,TP53 Regulates Transcription of Cell Cycle Genes,1,65,0.4155252815088178,8,1800,0.4516923394435704,0.8377068612522613
1,R-HSA-6782135,Dual incision in TC-NER,1,66,0.4203441811735311,10,1800,0.5283809118153424,0.8541211155151235
1,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,6,634,0.4247096303259938,102,1800,0.7615744652473458,0.9675213628916985
1,R-HSA-352230,Amino acid transport across the plasma membrane,1,67,0.4251236438609104,5,1800,0.31288143025183374,0.7926940672697135
1,R-HSA-201722,Formation of the beta-catenin:TCF transactivating complex,1,68,0.4298639899089216,18,1800,0.7423095845892007,0.9620161570394526
1,R-HSA-983189,Kinesins,1,68,0.4298639899089216,18,1800,0.7423095845892007,0.9620161570394526
1,R-HSA-1227986,Signaling by ERBB2,1,68,0.4298639899089216,13,1800,0.6239033296371246,0.8932711164010895
1,R-HSA-186797,Signaling by PDGF,1,70,0.4392286005468453,9,1800,0.49146912285447203,0.8525099015667957
